ticket_id,address
22056,"2900 tyler, Detroit MI"
27586,"4311 central, Detroit MI"
22062,"1449 longfellow, Detroit MI"
22084,"1441 longfellow, Detroit MI"
22093,"2449 churchill, Detroit MI"
22046,"6478 northfield, Detroit MI"
18738,"8027 brentwood, Detroit MI"
18735,"8228 mt elliott, Detroit MI"
18733,"8228 mt elliott, Detroit MI"
28204,"15307 seven mile, Detroit MI"
18739,"18353 van dyke, Detroit MI"
18740,"9500 van dyke, Detroit MI"
18743,"9100 van dyke, Detroit MI"
18741,"20024 schaefer, Detroit MI"
18978,"9425 van dyke, Detroit MI"
18974,"9313 van dyke, Detroit MI"
18742,"7301 harper, Detroit MI"
28211,"14935 warren, Detroit MI"
18746,"14715 klenk, Detroit MI"
18744,"14715 klenk, Detroit MI"
18747,"14715 klenk, Detroit MI"
26846,"16331 warren, Detroit MI"
26848,"5650 livernois, Detroit MI"
28209,"15733 seven mile, Detroit MI"
18736,"18701 mack, Detroit MI"
18737,"18701 mack, Detroit MI"
19950,"13400 schaefer, Detroit MI"
19311,"20525 pinehurst, Detroit MI"
18645,"601 king, Detroit MI"
19310,"20525 pinehurst, Detroit MI"
18651,"4017 clements, Detroit MI"
18649,"3005 pasadena, Detroit MI"
18660,"1346 broadway, Detroit MI"
18664,"343 macomb, Detroit MI"
18646,"607 king, Detroit MI"
18661,"1310 broadway, Detroit MI"
18662,"657 mullett, Detroit MI"
18657,"15439 mack, Detroit MI"
18652,"3395 palmer, Detroit MI"
18665,"1400 broadway, Detroit MI"
18650,"4024 clements, Detroit MI"
18653,"2900 jefferson, Detroit MI"
18658,"14214 jefferson, Detroit MI"
18666,"426 clinton, Detroit MI"
18655,"100 clairmount, Detroit MI"
18648,"4066 columbus, Detroit MI"
18667,"1513 broadway, Detroit MI"
18654,"69 seward, Detroit MI"
18663,"13613 mcnichols, Detroit MI"
18659,"1509 broadway, Detroit MI"
18656,"6065 braden, Detroit MI"
18668,"13250 gratiot, Detroit MI"
18705,"4650 vernor, Detroit MI"
18745,"16847 monica, Detroit MI"
18723,"6175 trumbull, Detroit MI"
18693,"7209 seven mile, Detroit MI"
18762,"13546 mcnichols, Detroit MI"
18706,"5414 vernor, Detroit MI"
18694,"6260 fort st, Detroit MI"
18707,"8740 michigan ave, Detroit MI"
18730,"17111 harper, Detroit MI"
18728,"17111 harper, Detroit MI"
18687,"7427 seven mile, Detroit MI"
18718,"11624 whittier, Detroit MI"
18670,"20840 chicago, Detroit MI"
18675,"14120 wyoming, Detroit MI"
18702,"15145 mcnichols, Detroit MI"
18692,"1801 springwells, Detroit MI"
18684,"7042 seven mile, Detroit MI"
19053,"20027 alcoy, Detroit MI"
18714,"11425 whittier, Detroit MI"
18673,"10534 chicago, Detroit MI"
18697,"19121 telegraph, Detroit MI"
18699,"7100 seven mile, Detroit MI"
18683,"1281 woodward ave, Detroit MI"
18686,"1261 woodward ave, Detroit MI"
18725,"12831 evanston, Detroit MI"
18763,"17526 seven mile, Detroit MI"
18672,"13635 chicago, Detroit MI"
18671,"6536 15th st, Detroit MI"
18755,"19131 gilchrist, Detroit MI"
18689,"7107 seven mile, Detroit MI"
18695,"6431 jefferson, Detroit MI"
18704,"13337 mcnichols, Detroit MI"
18688,"3456 vernor, Detroit MI"
18690,"7111 seven mile, Detroit MI"
19062,"17217 conant, Detroit MI"
18681,"7025 seven mile, Detroit MI"
18691,"20200 conant, Detroit MI"
18698,"7217 seven mile, Detroit MI"
18703,"1665 glendale, Detroit MI"
18679,"16140 joy rd, Detroit MI"
18674,"16251 plymouth, Detroit MI"
18798,"13300 puritan, Detroit MI"
18700,"8222 grinnell, Detroit MI"
18726,"6016 seven mile, Detroit MI"
18696,"2870 seven mile, Detroit MI"
18682,"18300 warren, Detroit MI"
18731,"6150 chalmers, Detroit MI"
18678,"16644 chicago, Detroit MI"
18685,"1403 woodward ave, Detroit MI"
18708,"11601 whittier, Detroit MI"
18721,"11364 kelly rd, Detroit MI"
18701,"7245 seven mile, Detroit MI"
18732,"8228 mt elliott, Detroit MI"
18712,"11525 whittier, Detroit MI"
18713,"11445 whittier, Detroit MI"
18717,"11555 whittier, Detroit MI"
18724,"12740 gratiot, Detroit MI"
18677,"18712 ford rd, Detroit MI"
18719,"11714 wade, Detroit MI"
18680,"7021 seven mile, Detroit MI"
18720,"14126 seven mile, Detroit MI"
22667,"9757 lakepointe, Detroit MI"
18715,"9757 lakepointe, Detroit MI"
18669,"5287 ivanhoe, Detroit MI"
18734,"6345 pilgrim, Detroit MI"
18729,"11016 peerless, Detroit MI"
18709,"4902 larkins, Detroit MI"
18787,"1201 washington blvd, Detroit MI"
18804,"14531 frankfort, Detroit MI"
18790,"2950 hendricks, Detroit MI"
18748,"3364 fremont, Detroit MI"
18786,"18551 joy rd, Detroit MI"
18802,"2600 eight mile, Detroit MI"
18761,"20701 joy rd, Detroit MI"
19043,"7501 davison, Detroit MI"
19049,"7501 davison, Detroit MI"
18803,"10529 seven mile, Detroit MI"
18750,"2951 clements, Detroit MI"
19056,"11717 wade, Detroit MI"
18791,"2101 woodward ave, Detroit MI"
18759,"19345 warren, Detroit MI"
18767,"7142 seven mile, Detroit MI"
18749,"12341 kilbourne, Detroit MI"
18818,"14249 greenfield, Detroit MI"
18930,"5655 parkdale tr, Detroit MI"
18765,"20723 plymouth, Detroit MI"
18793,"18250 joy rd, Detroit MI"
18751,"6863 drake, Detroit MI"
18805,"14300 jefferson, Detroit MI"
18768,"6646 seminole, Detroit MI"
18799,"10326 seven mile, Detroit MI"
18896,"15326 g a r, Detroit MI"
18772,"7300 seven mile, Detroit MI"
18806,"4405 cadillac square, Detroit MI"
18760,"6871 seminole, Detroit MI"
18758,"18750 warren, Detroit MI"
18808,"8001 livernois, Detroit MI"
18933,"13600 evergreen, Detroit MI"
18899,"14656 littlefield, Detroit MI"
18801,"3040 eight mile, Detroit MI"
18753,"5281 ivanhoe, Detroit MI"
18902,"17183 greenlawn, Detroit MI"
18796,"13941 indiana, Detroit MI"
18938,"2524 la salle gardens, Detroit MI"
18812,"8825 livernois, Detroit MI"
18811,"13701 mellon, Detroit MI"
18788,"8700 schaefer, Detroit MI"
19057,"11122 portlance, Detroit MI"
18757,"7134 seven mile, Detroit MI"
18928,"7434 kipling, Detroit MI"
18780,"1249 woodward ave, Detroit MI"
18781,"1241 woodward ave, Detroit MI"
18756,"7100 seven mile, Detroit MI"
18783,"4588 marseilles, Detroit MI"
18809,"6418 michigan ave, Detroit MI"
18784,"8100 seven mile, Detroit MI"
18774,"16300 mcnichols, Detroit MI"
18752,"7711 buhr, Detroit MI"
18792,"466 columbia, Detroit MI"
18795,"12951 chicago, Detroit MI"
19037,"3274 davison, Detroit MI"
19027,"3260 davison, Detroit MI"
19029,"3264 davison, Detroit MI"
18754,"7020 seven mile, Detroit MI"
18776,"2900 lawrence, Detroit MI"
18797,"8900 seven mile, Detroit MI"
18785,"1225 woodward ave, Detroit MI"
18794,"69 seward, Detroit MI"
18775,"13048 plymouth, Detroit MI"
18771,"14249 greenfield, Detroit MI"
18800,"10615 seven mile, Detroit MI"
18816,"24587 eight mile, Detroit MI"
18779,"10430 schoolcraft, Detroit MI"
18770,"16146 plymouth, Detroit MI"
18777,"13334 mcnichols, Detroit MI"
18766,"13635 mcnichols, Detroit MI"
18813,"16835 warren, Detroit MI"
18935,"7645 beaverland, Detroit MI"
18778,"36 adams ave, Detroit MI"
18782,"2256 philadelphia, Detroit MI"
18937,"9981 coyle, Detroit MI"
18940,"3275 doris, Detroit MI"
18789,"232 grand river, Detroit MI"
18769,"14100 meyers rd, Detroit MI"
18941,"12040 auburn, Detroit MI"
18939,"12026 auburn, Detroit MI"
18807,"4048 bewick, Detroit MI"
18817,"16005 mcnichols, Detroit MI"
18810,"8816 vernor, Detroit MI"
18815,"16645 warren, Detroit MI"
18844,"9405 fort st, Detroit MI"
18900,"11749 livernois, Detroit MI"
18861,"9214 evergreen, Detroit MI"
18918,"13337 jefferson, Detroit MI"
19054,"260 schweitzer pl, Detroit MI"
19052,"260 schweitzer pl, Detroit MI"
19059,"260 schweitzer pl, Detroit MI"
19051,"260 schweitzer pl, Detroit MI"
18892,"19711 greenfield, Detroit MI"
18907,"18395 greenfield, Detroit MI"
18912,"18970 greenfield, Detroit MI"
18917,"18960 greenfield, Detroit MI"
18916,"18964 greenfield, Detroit MI"
18845,"5570 ivanhoe, Detroit MI"
18926,"14229 jefferson, Detroit MI"
18923,"14201 jefferson, Detroit MI"
18944,"10000 carlin, Detroit MI"
18884,"14228 fenkell, Detroit MI"
18906,"2118 woodbridge, Detroit MI"
18880,"17401 greenfield, Detroit MI"
18890,"19855 grand river, Detroit MI"
18862,"17139 schaefer, Detroit MI"
18894,"1627 seven mile, Detroit MI"
18920,"9933 greenfield, Detroit MI"
18849,"13219 dexter, Detroit MI"
18843,"14419 schoolcraft, Detroit MI"
18885,"17563 greenfield, Detroit MI"
18946,"14204 ward, Detroit MI"
18832,"7840 michigan ave, Detroit MI"
18927,"14313 jefferson, Detroit MI"
18833,"2928 seven mile, Detroit MI"
18841,"11501 woodward ave, Detroit MI"
18875,"17750 grand river, Detroit MI"
18822,"5234 larkins, Detroit MI"
18931,"14201 harper, Detroit MI"
18910,"1969 franklin, Detroit MI"
18904,"9850 livernois, Detroit MI"
18863,"14147 marlowe, Detroit MI"
18829,"560 bagley, Detroit MI"
18835,"9924 wyoming, Detroit MI"
18881,"17876 dwyer, Detroit MI"
18921,"14115 jefferson, Detroit MI"
18874,"15888 greenfield, Detroit MI"
18836,"17010 harper, Detroit MI"
18895,"20170 appoline, Detroit MI"
18852,"7334 chicago, Detroit MI"
18865,"13577 greenfield, Detroit MI"
18831,"11052 grand river, Detroit MI"
18913,"10271 livernois, Detroit MI"
18883,"41 adams ave, Detroit MI"
18846,"5827 vernor, Detroit MI"
18855,"3901 eight mile, Detroit MI"
18820,"14191 greenfield, Detroit MI"
18847,"2440 clements, Detroit MI"
18840,"2462 labelle, Detroit MI"
18882,"6714 floyd, Detroit MI"
18952,"6516 barlum, Detroit MI"
18897,"5875 vernor, Detroit MI"
18879,"20467 packard, Detroit MI"
18853,"3347 carter, Detroit MI"
18929,"10015 chalmers, Detroit MI"
18825,"1520 broadway, Detroit MI"
18886,"6680 michigan ave, Detroit MI"
18898,"3457 bagley, Detroit MI"
18869,"15500 plymouth, Detroit MI"
18873,"17300 mcnichols, Detroit MI"
18911,"2317 sturtevant, Detroit MI"
18837,"2537 cortland, Detroit MI"
19061,"19128 mapleview, Detroit MI"
19207,"2630 jefferson, Detroit MI"
