address,lat,lon
"4300 rosa parks blvd, Detroit MI 48208",42.346169,-83.079962
"14512 sussex, Detroit MI",42.394657,-83.194265
"3456 garland, Detroit MI",42.373779,-82.986228
"5787 wayburn, Detroit MI",42.4033417,-82.9578047
"5766 haverhill, Detroit MI",42.407255,-82.946295
"11751 englewood, Detroit MI",42.2439275,-83.2047123
"6442 heyden, Detroit MI",42.337779,-83.237171
"15703 kentfield, Detroit MI 48223",42.404354,-83.24092
"3818 clements, Detroit MI",42.3898077,-83.1334629
"431 congress, Detroit MI 48226",42.3323435,-83.0415618
"18624 concord, Detroit MI",42.430603,-83.032262
"11933 visger, Detroit MI",42.265129,-83.155067
"5603 mcnichols, Detroit MI",42.419211,-83.046049
"20243 pelkey, Detroit MI",42.446465,-82.987033
"13583 manor, Detroit MI",42.387036,-83.167809
"14432 chapel, Detroit MI",42.392659,-83.252454
"12141 dexter, Detroit MI",42.382073,-83.12605
"3325 puritan, Detroit MI",42.409781,-83.134216
"12763 kilbourne, Detroit MI",42.413618,-82.9820529
"7619 ellsworth, Detroit MI",42.40166,-83.147069
"14953 faust, Detroit MI",42.398249,-83.223068
"9046 american, Detroit MI",42.361461,-83.143601
"18687 albion, Detroit MI 48234",42.432074,-83.006093
"18401 justine, Detroit MI 48234",42.4279079,-83.0586921
"15468 plymouth, Detroit MI",42.3725661,-83.1973343
"11774 chelsea, Detroit MI",42.40463,-82.989991
"2600 honorah, Detroit MI",42.316361,-83.124942
"3637 kirby, Detroit MI",42.373221,-83.031655
"15366 cherrylawn, Detroit MI",42.403781,-83.154021
"16236 coyle, Detroit MI",42.41096,-83.193797
"8615 brace, Detroit MI",42.356143,-83.223909
"20297 moenart, Detroit MI",42.4457341,-83.0509377
"4827 lonyo, Detroit MI",42.3288607,-83.1435099
"12008 fielding, Detroit MI",42.3742959,-83.2410589
"15114 harper, Detroit MI",42.406631,-82.9578609
"1687 taylor, Detroit MI",42.3759127,-83.0974808
"11519 kenmoor, Detroit MI",42.418402,-83.0034249
"1291 oakman blvd, Detroit MI",42.3999964,-83.120026
"8435 cahalan, Detroit MI",42.306061,-83.129442
"18138 kentfield, Detroit MI",42.4221531,-83.2412824
"5121 trumbull, Detroit MI",42.3534231,-83.0798074
"2300 manson, Detroit MI",42.319892,-83.106825
"372 philip, Detroit MI",42.3652609,-82.936132
"9156 ward, Detroit MI",42.361795,-83.1722659
"3018 ethel, Detroit MI 48217",42.263698,-83.1558073
"3931 mcgraw, Detroit MI",42.348252,-83.109363
"8375 almont, Detroit MI",42.445427,-82.9649481
"6334 varney, Detroit MI",42.386686,-83.037772
"16143 mansfield, Detroit MI",42.409356,-83.205778
"6314 vaughan, Detroit MI",42.336072,-83.235889
"4120 haverhill, Detroit MI",42.395138,-82.938374
"18310 northlawn, Detroit MI",42.425909,-83.153623
"17219 ilene, Detroit MI",42.4185706,-83.1627765
"2272 pasadena, Detroit MI",42.397253,-83.118936
"9061 prairie, Detroit MI",42.361719,-83.143129
"19250 lenore, Detroit MI",42.431,-83.280526
"18230 plymouth, Detroit MI",42.372507,-83.218631
"532 oakwood, Detroit MI",42.289288,-83.149057
"15910 bentler, Detroit MI",42.407425,-83.251756
"81 calvert, Detroit MI",42.388633,-83.08744
"17160 barlow, Detroit MI",42.423946,-82.995187
"711 alexandrine, Detroit MI",42.347842,-83.066838
"15084 spring garden, Detroit MI",42.427826,-82.965991
"13061 loretto, Detroit MI",42.418679,-82.982068
"18673 teppert, Detroit MI 48234",42.43181,-83.008567
"5767 lakeview, Detroit MI",42.399583,-82.967343
"15000 grand river, Detroit MI",42.390633,-83.192514
"18316 monica, Detroit MI",42.426048,-83.144045
"2263 highland, Detroit MI 48206",42.3890389,-83.112448
"5293 eastlawn, Detroit MI",42.397024,-82.9643789
"7449 kipling, Detroit MI",42.3668369,-83.089214
"7424 edward, Detroit MI",42.325438,-83.1324869
"14601 linnhurst, Detroit MI",42.431582,-82.972303
"16525 plainview, Detroit MI",42.410297,-83.236882
"3008 mcclellan, Detroit MI",42.3683945,-82.9910163
"15008 griggs, Detroit MI",42.400414,-83.162345
"19924 fenmore, Detroit MI",42.437855,-83.217819
"4412 seyburn, Detroit MI",42.371788,-83.010575
"13330 prest, Detroit MI",42.385638,-83.196373
"2812 williams, Detroit MI",42.3322765,-83.0883385
"5032 hereford, Detroit MI",42.409003,-82.923478
"4359 grayton, Detroit MI",42.401115,-82.92961
"13729 helen, Detroit MI",42.4179724,-83.0310898
"8577 melville, Detroit MI",42.293495,-83.122536
"6450 evergreen, Detroit MI 48228",42.338019,-83.234698
"20529 hull, Detroit MI",42.4466952,-83.0894228
"7606 seven mile, Detroit MI",42.4337882,-83.0260429
"19222 conant, Detroit MI",42.4346627,-83.0745862
"5333 ivanhoe, Detroit MI",42.356913,-83.127313
"10226 kercheval, Detroit MI",42.365102,-82.982435
"7350 penrod, Detroit MI 48228",42.3455861,-83.21942
"7420 dacosta, Detroit MI",42.344523,-83.257147
"16772 bramell, Detroit MI 48219",42.412672,-83.264199
"20718 pembroke, Detroit MI 48219",42.436902,-83.246779
"6345 artesian, Detroit MI 48228",42.3367192,-83.2256531
"6329 greenfield, Detroit MI",42.3369659,-83.1962889
"824 algonquin, Detroit MI",42.367388,-82.954657
"1715 leslie, Detroit MI",42.392523,-83.11015
"8850 hubbell, Detroit MI",42.35918,-83.186784
"5750 14th st, Detroit MI",42.356369,-83.090165
"2879 ewald circle, Detroit MI",42.388413,-83.144999
"12850 riverview, Detroit MI",42.3817639,-83.272949
